Team,Elo,Conference,RatingUpdated
Radford Highlanders,1002.8037912444564,Big South,False
South Carolina Upstate Spartans,914.1731737867044,Big South,False
UNC Asheville Bulldogs,918.4954668803756,Big South,False
Winthrop Eagles,964.9441078416644,Big South,False
Cal Poly Mustangs,916.2957769147952,Big West,False
Cal State Bakersfield Roadrunners,933.1509484316906,Big West,False
Cal State Fullerton Titans,977.858234288788,Big West,False
Cal State Northridge Matadors,955.87952007298,Big West,False
Hawai'i Rainbow Wahine,972.3606823666956,Big West,False
Long Beach State Beach,887.5642000115163,Big West,False
UC Davis Aggies,1044.8594634473352,Big West,False
UC Irvine Anteaters,1077.8327863909817,Big West,False
UC Riverside Highlanders,926.3541816166244,Big West,False
UC San Diego Tritons,1003.023993925422,Big West,False
UC Santa Barbara Gauchos,1067.7321467967088,Big West,False
Campbell Fighting Camels,995.595047535127,CAA,False
Charleston Cougars,1033.3061722331668,CAA,False
Drexel Dragons,1021.1580193407584,CAA,False
Elon Phoenix,983.8357807892752,CAA,False
Hampton Lady Pirates,967.7079436700984,CAA,False
Hofstra Pride,918.7579181009676,CAA,False
Monmouth Hawks,978.9582580353004,CAA,False
North Carolina A&T Aggies,933.9447129180415,CAA,False
Northeastern Huskies,948.2471783820638,CAA,False
Stony Brook Seawolves,917.9152574086598,CAA,True
Towson Tigers,959.953760953002,CAA,False
UNC Wilmington Seahawks,959.0607569737704,CAA,False
William & Mary Tribe,975.3773512373843,CAA,False
Delaware Blue Hens,1028.024182801249,CUSA,True
Florida International Panthers,997.399501966476,CUSA,True
Jacksonville State Gamecocks,942.8622794865504,CUSA,False
Kennesaw State Owls,989.3816765304286,CUSA,False
Liberty Flames,1024.5431842441778,CUSA,False
Louisiana Tech Lady Techsters,1013.702038760234,CUSA,False
Missouri State Bears,1038.8603473286414,CUSA,False
Middle Tennessee Blue Raiders,967.7231096039238,CUSA,False
New Mexico State Aggies,889.0517146610827,CUSA,False
Sam Houston Bearkats,1030.360703609166,CUSA,False
UTEP Miners,1082.4929527891627,CUSA,False
Western Kentucky Lady Toppers,938.1722272925612,CUSA,False
Cleveland State Vikings,1039.2014020145018,Horizon,False
Detroit Mercy Titans,951.401210488408,Horizon,False
Green Bay Phoenix,1023.8016339479176,Horizon,False
IU Indianapolis Jaguars,951.2946795787924,Horizon,False
Milwaukee Panthers,891.7812524230028,Horizon,True
Northern Kentucky Norse,952.3927577047732,Horizon,False
Oakland Golden Grizzlies,933.3716547443375,Horizon,False
Purdue Fort Wayne Mastodons,1015.5735651861348,Horizon,False
Robert Morris Colonials,1008.149109044862,Horizon,False
Wright State Raiders,955.6309710199184,Horizon,False
Youngstown State Penguins,1021.33970353707,Horizon,True
Brown Bears,1048.8647555434643,Ivy League,False
Columbia Lions,1037.6969053727855,Ivy League,False
Cornell Big Red,948.4468170702886,Ivy League,False
Dartmouth Big Green,989.4626955088246,Ivy League,True
Harvard Crimson,1068.5935531544887,Ivy League,True
Pennsylvania Quakers,1016.7571560827143,Ivy League,False
Princeton Tigers,1113.4632559093486,Ivy League,False
Yale Bulldogs,932.6701386281934,Ivy League,False
Canisius Golden Griffins,891.4937487588071,MAAC,False
Fairfield Stags,1026.769692915483,MAAC,True
Iona Gaels,1016.5345911291774,MAAC,False
Manhattan Jaspers,880.3165031799339,MAAC,False
Marist Red Foxes,907.802485236379,MAAC,False
Merrimack Warriors,967.8455484168389,MAAC,True
Mount St. Mary's Mountaineers,946.594601768092,MAAC,False
Niagara Purple Eagles,829.4810493962243,MAAC,False
Quinnipiac Bobcats,1058.3923302488606,MAAC,False
Rider Broncs,954.3764328670444,MAAC,False
Sacred Heart Pioneers,929.2901225681954,MAAC,False
Siena Saints,945.2278415416224,MAAC,False
Saint Peter's Peacocks,880.495713522988,MAAC,False
Akron Zips,899.2520703118836,MAC,False
Ball State Cardinals,1091.9821263633062,MAC,False
Bowling Green Falcons,953.1201836746444,MAC,False
Buffalo Bulls,957.3476927094188,MAC,False
Central Michigan Chippewas,1000.0085046667268,MAC,False
Eastern Michigan Eagles,1015.5118941525194,MAC,False
Kent State Golden Flashes,977.0459314796328,MAC,False
Miami (OH) RedHawks,1017.3290277134942,MAC,False
Northern Illinois Huskies,940.2019738859908,MAC,False
Ohio Bobcats,1005.5734351584666,MAC,True
Toledo Rockets,995.6315578592988,MAC,False
Massachusetts Minutemen,1103.7155620520955,MAC,False
Western Michigan Broncos,942.0798562262974,MAC,False
Coppin State Eagles,857.3244009615526,MEAC,False
Delaware State Hornets,891.6259124348194,MEAC,False
Howard Bison,1030.611427786245,MEAC,True
Maryland Eastern Shore Hawks,974.2713381261493,MEAC,True
Morgan State Lady Bears,832.9473637840143,MEAC,False
North Carolina Central Eagles,905.4063809156288,MEAC,False
Norfolk State Spartans,893.4834037534968,MEAC,False
South Carolina State Lady Bulldogs,868.9678500011748,MEAC,True
Air Force Falcons,982.412304882332,Mountain West,False
Boise State Broncos,1063.3779738516405,Mountain West,False
Colorado State Rams,1066.352847640232,Mountain West,False
Fresno State Bulldogs,1014.0713639577236,Mountain West,False
Grand Canyon Lopes,952.2189718367948,Mountain West,False
Nevada Wolf Pack,973.6098440872245,Mountain West,True
New Mexico Lobos,1043.2288647165306,Mountain West,False
San Diego State Aztecs,999.8583776960904,Mountain West,False
San Jose State Spartans,897.4895774116538,Mountain West,False
UNLV Lady Rebels,1038.9336485581257,Mountain West,False
Utah State Aggies,946.9485393899085,Mountain West,True
Wyoming Cowgirls,958.3847483925786,Mountain West,False
Belmont Bruins,1003.7028066116792,MVC,False
Bradley Braves,1000.834115766004,MVC,False
Drake Bulldogs,912.3527456579571,MVC,False
Evansville Purple Aces,944.674360287089,MVC,False
Illinois State Redbirds,978.1089567125618,MVC,False
Indiana State Sycamores,995.6528221449444,MVC,False
Murray State Racers,1044.28563945521,MVC,False
Northern Iowa Panthers,995.6716968218576,MVC,False
Southern Illinois Salukis,893.3080065012031,MVC,False
UIC Flames,992.871763800582,MVC,True
Valparaiso Beacons,854.723227286276,MVC,False
Central Connecticut Blue Devils,877.7401130575666,NEC,True
Chicago State Cougars,880.463917873805,NEC,False
Fairleigh Dickinson Knights,1041.2103343757149,NEC,False
Le Moyne Dolphins,893.4396891468905,NEC,False
Long Island University Sharks,977.6211930173512,NEC,False
Mercyhurst Lakers,850.7527867840588,NEC,True
New Haven Chargers,912.0690041428272,NEC,False
Saint Francis Red Flash,880.122794472969,NEC,False
Stonehill Skyhawks,942.512496350856,NEC,False
Wagner Seahawks,944.4380349299756,NEC,False
Eastern Illinois Panthers,901.1069555014412,OVC,False
Lindenwood Lions,1060.4548906462785,OVC,False
Little Rock Trojans,950.0054430404756,OVC,False
Morehead State Eagles,973.5345263769038,OVC,False
Southeast Missouri State Redhawks,950.3198661699174,OVC,False
SIU Edwardsville Cougars,989.2103571880908,OVC,False
Southern Indiana Screaming Eagles,989.7242836157108,OVC,False
Tennessee State Lady Tigers,904.6686733453032,OVC,False
Tennessee Tech Golden Eagles,1034.086446442731,OVC,False
UT Martin Skyhawks,959.7744750302458,OVC,False
Western Illinois Leathernecks,1024.34794704963,OVC,False
American University Eagles,904.8427481961468,Patriot,False
Army Black Knights,1040.4847581163428,Patriot,False
Boston University Terriers,962.0985024004668,Patriot,False
Bucknell Bison,956.5881710680496,Patriot,True
Colgate Raiders,954.8473045004231,Patriot,True
Holy Cross Crusaders,949.6411608346162,Patriot,False
Lafayette Leopards,995.6495649888216,Patriot,False
Lehigh Mountain Hawks,995.842502080631,Patriot,False
Loyola Maryland Greyhounds,929.9533929181044,Patriot,False
Navy Midshipmen,1015.8286194162076,Patriot,False
Alabama Crimson Tide,1152.2854252290122,SEC,False
Arkansas Razorbacks,1031.62704051053,SEC,False
Auburn Tigers,1088.3463425594257,SEC,False
Florida Gators,1104.6329838236943,SEC,False
Georgia Lady Bulldogs,1181.5438414111402,SEC,False
Kentucky Wildcats,1165.6593211143015,SEC,False
LSU Tigers,1214.1172217313535,SEC,False
Mississippi State Bulldogs,1132.1753047744453,SEC,False
Missouri Tigers,1073.6949588219763,SEC,False
Oklahoma Sooners,1144.0729635106657,SEC,False
Ole Miss Rebels,1145.5532586006268,SEC,False
South Carolina Gamecocks,1156.580627586005,SEC,False
Tennessee Lady Volunteers,1094.5506616789935,SEC,False
Texas Longhorns,1193.20626877655,SEC,False
Texas A&M Aggies,1091.2626415851364,SEC,False
