Team,Elo,Conference,Notes,RatingUpdated
South Dakota State,753.9656374881752,MVC,,False
Southern Illinois,720.6237396234485,MVC,,False
Youngstown State,745.9489943765226,MVC,,False
Central Connecticut,651.0871090519578,NEC,,False
Duquesne,653.9582877386206,NEC,,False
Long Island University,641.0977302226312,NEC,,False
Mercyhurst,637.2840490322308,NEC,,False
New Haven,647.7393790815572,NEC,,False
Robert Morris,708.9921817922918,NEC,,False
Stonehill,685.1981874798453,NEC,,False
Wagner,653.1370218275167,NEC,,False
Charleston Southern,695.9330410133841,OVC,,False
Eastern Illinois,683.1624972735858,OVC,,False
Gardner-Webb,675.0800936886436,OVC,,False
Lindenwood,680.574849471409,OVC,,False
Southeast Missouri State,679.2560526564052,OVC,,False
Tennessee State,646.437070714848,OVC,,False
UT Martin,696.494240592721,OVC,,False
Western Illinois,658.6343861096647,OVC,,False
Boise State,1014.468947565888,PAC 12,,False
Colorado State,1037.98405195161,PAC 12,,False
Fresno State,1012.1016242377592,PAC 12,,False
Oregon State,966.9254377088004,PAC 12,,False
San Diego State,994.958600746185,PAC 12,,False
Texas State,956.503372129593,PAC 12,,False
Utah State,950.670742575361,PAC 12,,False
Washington State,960.1130483861858,PAC 12,,False
Bucknell,685.8146951314104,Patriot,,False
Colgate,736.6913669807052,Patriot,,False
Fordham,651.8183379705682,Patriot,,False
Georgetown,675.5610557565715,Patriot,,False
Holy Cross,638.0332197209711,Patriot,,False
Lafayette,695.467636857699,Patriot,,False
Lehigh,771.9280932093012,Patriot,,False
Richmond,714.6506339466586,Patriot,,False
Villanova,677.9754499587449,Patriot,,False
William & Mary,705.4196306125532,Patriot,,False
Butler,678.2992205130532,Pioneer,,False
Davidson,668.9432593107326,Pioneer,,False
Dayton,700.0,Pioneer,,False
Drake,643.5503042400012,Pioneer,,False
Marist,686.9896149770555,Pioneer,,False
Morehead State,666.7025410452137,Pioneer,,False
Presbyterian,666.3975983303403,Pioneer,,False
San Diego,651.4528994688811,Pioneer,,False
St. Thomas-Minnesota,674.0253156249531,Pioneer,,False
Stetson,639.7513069973094,Pioneer,,False
Valparaiso,680.3195841077707,Pioneer,,False
Alabama,1053.848030618767,SEC,,False
Arkansas,983.767069169572,SEC,,False
Auburn,1033.349162046656,SEC,,False
Florida,1050.0942422885846,SEC,,False
Georgia,1046.3136596685667,SEC,,False
Kentucky,990.7976640709462,SEC,,False
LSU,1056.311007719626,SEC,,False
Mississippi State,1056.246011294963,SEC,,False
Missouri,1037.9382717191672,SEC,,False
Oklahoma,1015.4514933999066,SEC,,False
Ole Miss,1031.1546826342592,SEC,,False
South Carolina,1050.2829740009947,SEC,,False
Tennessee,1036.7582884547985,SEC,,False
Texas,1033.459341197982,SEC,,False
Texas A&M,1057.31518176797,SEC,,False
Vanderbilt,1027.9346548246388,SEC,,False
Chattanooga,684.8639331347483,Southern,,False
East Tennessee State,666.8816925509816,Southern,,False
Furman,704.7035095739546,Southern,,False
Mercer,726.8334559603577,Southern,,False
Samford,651.3912154921433,Southern,,False
Tennessee Tech,764.0922291021997,Southern,,False
The Citadel,686.3150906784778,Southern,,False
VMI,636.4293069731879,Southern,,False
Western Carolina,689.076480681694,Southern,,False
Wofford,721.5925062100516,Southern,,False
East Texas A&M,687.4243283695096,Southland,,False
Houston Christian,702.0212237603175,Southland,,False
Incarnate Word,683.323417519798,Southland,,False
Lamar,712.0339729267916,Southland,,False
McNeese,674.4453991593996,Southland,,False
Nicholls,714.0909109594826,Southland,,False
Northwestern State,650.3397290077031,Southland,,False
SE Louisiana,688.4553338804121,Southland,,False
Stephen F. Austin,761.2681347481532,Southland,,False
UT Rio Grande Valley,680.3898290755235,Southland,,False
App State,1024.974953010544,Sun Belt,,False
Arkansas State,998.1638491414536,Sun Belt,,False
Coastal Carolina,1001.0426596466324,Sun Belt,,False
Georgia Southern,987.205384440726,Sun Belt,,False
Georgia State,1039.0272180210509,Sun Belt,,False
James Madison,1036.593280986643,Sun Belt,,False
Louisiana,996.533074599201,Sun Belt,,False
Louisiana Tech,996.7691845550574,Sun Belt,,False
Marshall,978.5842081032542,Sun Belt,,False
Old Dominion,989.3091622332964,Sun Belt,,False
South Alabama,997.0863895005712,Sun Belt,,False
Southern Miss,983.617379253562,Sun Belt,,False
Troy,1018.532963020912,Sun Belt,,False
UL Monroe,955.6834071822692,Sun Belt,,False
Alabama A&M,707.6781025382197,SWAC,,False
Alabama State,710.5833517349744,SWAC,,False
Alcorn State,689.8562693234603,SWAC,,False
Arkansas-Pine Bluff,677.4339019209662,SWAC,,False
Bethune-Cookman,701.890134662086,SWAC,,False
Florida A&M,656.9093750203597,SWAC,,False
Grambling,680.8953601850459,SWAC,,False
Jackson State,710.5754697645617,SWAC,,False
Mississippi Valley State,652.9980466097543,SWAC,,False
Prairie View A&M,697.6043407334788,SWAC,,False
Southern,659.215880762171,SWAC,,False
Texas Southern,665.7081069776262,SWAC,,False
Abilene Christian,657.5539390959282,UAC,,False
Austin Peay,744.7553469659797,UAC,,False
Central Arkansas,689.6893719109597,UAC,,False
Eastern Kentucky,674.6223094933484,UAC,,False
North Alabama,693.0060056211728,UAC,,False
Tarleton State,769.0524125646091,UAC,,False
West Florida,738.8079929648566,UAC,,False
West Georgia,645.6460692221116,UAC,,False
