Team,Elo,Conference,Notes,RatingUpdated
Kennesaw State Owls,1000,CUSA,,FALSE
Kent State Golden Flashes,1000,MAC,,FALSE
Kentucky Wildcats,1000,SEC,,FALSE
LSU New Orleans Privateers,1000,Southland,,FALSE
LSU Tigers,1000,SEC,,FALSE
Lafayette Leopards,1000,Patriot,,FALSE
Lamar Cardinals,1000,Southland,,FALSE
Le Moyne Dolphins,1000,NEC,,FALSE
Lehigh Mountain Hawks,1000,Patriot,,FALSE
Liberty Flames,1000,CUSA,,FALSE
Lindenwood Lions,1000,OVC,,FALSE
Lipscomb Bisons,1000,ASUN,,FALSE
Little Rock Trojans,1000,OVC,,FALSE
Long Beach State 49ers,1000,Big West,,FALSE
Long Island University Sharks,1000,NEC,,FALSE
Louisiana Ragin' Cajuns,1000,Sun Belt,,FALSE
Louisiana Tech Bulldogs,1000,CUSA,,FALSE
Louisville Cardinals,1000,ACC,,FALSE
Loyola Chicago Ramblers,1000,A10,,FALSE
Loyola Maryland Greyhounds,1000,Patriot,,FALSE
Loyola Marymount Lions,1000,WCC,,FALSE
Manhattan Jaspers,1000,MAAC,,FALSE
Marist Red Foxes,1000,MAAC,,FALSE
Marquette Golden Eagles,1000,Big East,,FALSE
Marshall Thundering Herd,1000,Sun Belt,,FALSE
Maryland Eastern Shore Hawks,1000,MEAC,,FALSE
Maryland Terrapins,1000,Big 10,,FALSE
McNeese Cowboys,1000,Southland,,FALSE
Memphis Tigers,1000,American,,FALSE
Mercer Bears,1000,Southern,,FALSE
Mercyhurst Lakers,1000,NEC,,FALSE
Miami (OH) RedHawks,1000,MAC,,FALSE
Miami Hurricanes,1000,ACC,,FALSE
Michigan State Spartans,1000,Big 10,,FALSE
Michigan Wolverines,1000,Big 10,,FALSE
Middle Tennessee Blue Raiders,1000,CUSA,,FALSE
Milwaukee Panthers,1000,Horizon,,FALSE
Minnesota Golden Gophers,1000,Big 10,,FALSE
Mississippi State Bulldogs,1000,SEC,,FALSE
Mississippi Valley State Delta Devils,1000,SWAC,,FALSE
Missouri State Bears,1000,CUSA,,FALSE
Missouri Tigers,1000,SEC,,FALSE
Montana Grizzlies,1000,Big Sky,,FALSE
Montana State Bobcats,1000,Big Sky,,FALSE
Morehead State Eagles,1000,OVC,,FALSE
Morgan State Bears,1000,MEAC,,FALSE
Murray State Racers,1000,MVC,,FALSE
NC State Wolfpack,1000,ACC,,FALSE
NJIT Highlanders,1000,America East,,FALSE
Navy Midshipmen,1000,Patriot,,FALSE
Nebraska Cornhuskers,1000,Big 10,,FALSE
Nevada Wolf Pack,1000,Mountain West,,FALSE
New Hampshire Wildcats,1000,America East,,FALSE
New Haven Chargers,1000,NEC,,FALSE
New Mexico Lobos,1000,CUSA,,FALSE
New Mexico State Aggies,1000,CUSA,,FALSE
Niagara Purple Eagles,1000,MAAC,,FALSE
Nicholls Colonels,1000,Southland,,FALSE
Norfolk State Spartans,1000,MEAC,,FALSE
North Alabama Lions,1000,ASUN,,FALSE
North Carolina A&T Aggies,1000,ACC,,FALSE
North Carolina Central Eagles,1000,ACC,,FALSE
North Carolina Tar Heels,1000,ACC,,FALSE
North Dakota Fighting Hawks,1000,Summit,,FALSE
North Dakota State Bison,1000,Summit,,FALSE
North Florida Ospreys,1000,ASUN,,FALSE
North Texas Mean Green,1000,American,,FALSE
Northeastern Huskies,1000,CAA,,FALSE
Northern Arizona Lumberjacks,1000,Big Sky,,FALSE
Northern Colorado Bears,1000,Big Sky,,FALSE
Northern Illinois Huskies,1000,MAC,,FALSE
Northern Iowa Panthers,1000,MVC,,FALSE
Northern Kentucky Norse,1000,Horizon,,FALSE
Northwestern State Demons,1000,Southland,,FALSE
Northwestern Wildcats,1000,Big 10,,FALSE
Notre Dame Fighting Irish,1000,ACC,,FALSE
