Team,Elo,Conference,RatingUpdated
Radford Highlanders,975.2099127174464,Big South,False
South Carolina Upstate Spartans,897.853080780079,Big South,False
UNC Asheville Bulldogs,942.2307597163948,Big South,False
Winthrop Eagles,1071.3150298073797,Big South,False
Cal Poly Mustangs,993.738191684841,Big West,False
Cal State Bakersfield Roadrunners,772.8896988099854,Big West,False
Cal State Fullerton Titans,997.7273305841444,Big West,False
Cal State Northridge Matadors,1032.5691194679105,Big West,False
Hawai'i Rainbow Warriors,1055.3523790659422,Big West,False
Long Beach State Beach,879.8379190550063,Big West,False
UC Davis Aggies,1010.5483314464052,Big West,False
UC Irvine Anteaters,1087.2156894831094,Big West,False
UC Riverside Highlanders,913.4378954051266,Big West,False
UC San Diego Tritons,1068.8619289104763,Big West,False
UC Santa Barbara Gauchos,1030.1195527117425,Big West,False
Campbell Fighting Camels,985.7904654123604,CAA,False
Charleston Cougars,1103.953955276959,CAA,True
Drexel Dragons,1015.6702834012194,CAA,False
Elon Phoenix,926.1246481256304,CAA,False
Hampton Pirates,943.7440384498732,CAA,False
Hofstra Pride,1112.9005215157204,CAA,False
Monmouth Hawks,1037.82576171687,CAA,False
North Carolina A&T Aggies,928.8637682694956,CAA,False
Northeastern Huskies,839.422442278969,CAA,False
Stony Brook Seawolves,980.8322932739547,CAA,False
Towson Tigers,1015.3638057072444,CAA,False
UNC Wilmington Seahawks,1122.4568094152114,CAA,True
William & Mary Tribe,1034.5709573368197,CAA,False
Delaware Blue Hens,900.6525979890257,CUSA,False
Florida International Panthers,980.5742822185556,CUSA,False
Jacksonville State Gamecocks,968.5995602261028,CUSA,False
Kennesaw State Owls,1027.8207265683732,CUSA,False
Liberty Flames,1070.9670554273173,CUSA,False
Louisiana Tech Bulldogs,955.190548026412,CUSA,False
Missouri State Bears,947.0008223595568,CUSA,False
Middle Tennessee Blue Raiders,976.611488846698,CUSA,False
New Mexico State Aggies,961.2157124379194,CUSA,False
Sam Houston Bearkats,1103.1877364278644,CUSA,False
UTEP Miners,918.0327169812856,CUSA,False
Western Kentucky Hilltoppers,1073.6270566990063,CUSA,False
Cleveland State Vikings,860.8930918482044,Horizon,False
Detroit Mercy Titans,1009.3970864588216,Horizon,False
Green Bay Phoenix,1009.88321929275,Horizon,False
IU Indianapolis Jaguars,834.9549333781564,Horizon,False
Milwaukee Panthers,928.6344744056502,Horizon,False
Northern Kentucky Norse,984.4069590327751,Horizon,False
Oakland Golden Grizzlies,974.3129500455628,Horizon,False
Purdue Fort Wayne Mastodons,948.443671364395,Horizon,False
Robert Morris Colonials,1086.733839230006,Horizon,False
Wright State Raiders,1037.7561656665137,Horizon,False
Youngstown State Penguins,954.4385962575824,Horizon,False
Brown Bears,909.7757366136792,Ivy League,False
Columbia Lions,973.2094756093694,Ivy League,False
Cornell Big Red,1020.7719074640058,Ivy League,False
Dartmouth Big Green,902.3236895952496,Ivy League,False
Harvard Crimson,1047.6305433445382,Ivy League,False
Pennsylvania Quakers,1050.8695027804326,Ivy League,False
Princeton Tigers,945.5816974747868,Ivy League,False
Yale Bulldogs,1115.336177441633,Ivy League,False
Canisius Golden Griffins,846.4998027784744,MAAC,True
Fairfield Stags,1010.9605310187152,MAAC,True
Iona Gaels,984.7911059552131,MAAC,True
Manhattan Jaspers,880.8775131779348,MAAC,True
Marist Red Foxes,1006.8078325863502,MAAC,True
Merrimack Warriors,1098.6430458419109,MAAC,True
Mount St. Mary's Mountaineers,1000.6247941569067,MAAC,True
Niagara Purple Eagles,850.4539389588274,MAAC,True
