date,away team,home team,set,away score,home score,start_time
2026-08-29,USC Trojans,Arizona State Sun Devils,1,25,23,
2026-08-29,USC Trojans,Arizona State Sun Devils,2,25,21,
2026-08-29,USC Trojans,Arizona State Sun Devils,3,25,22,
