away team,home team,game date (Pacific)
Arkansas,Vanderbilt,2026-10-16
Cincinnati,West Virginia,2026-10-16
Kansas,Kansas State,2026-10-16
TCU,Baylor,2026-10-16
Charleston Southern,Clemson,2026-10-16
Georgia Tech,Virginia Tech,2026-10-16
North Carolina,Duke,2026-10-16
Pittsburgh,Boston College,2026-10-16
Wake Forest,California,2026-10-16
Rutgers,Maryland,2026-10-16
Northwestern,Michigan State,2026-10-16
Wisconsin,UCLA,2026-10-16
Charlotte,Temple,2026-10-16
Navy,UTSA,2026-10-16
Tulsa,Rice,2026-10-16
Kent State,South Florida,2026-10-16
New Mexico,Hawai'i,2026-10-16
Ball State,Bowling Green,2026-10-16
Massachusetts,Buffalo,2026-10-16
Western Michigan,Central Michigan,2026-10-16
Toledo,Eastern Michigan,2026-10-16
Ohio,Sacramento State,2026-10-16
Akron,Miami (OH),2026-10-16
Arkansas State,Southern Miss,2026-10-16
Georgia State,James Madison,2026-10-16
Troy,Louisiana,2026-10-16
Louisiana Tech,UL Monroe,2026-10-16
Florida Atlantic,Army,2026-10-17
The Citadel,Texas A&M,2026-10-17
Northern Illinois,Wyoming,2026-10-17
UNLV,Air Force,2026-10-17
Washington State,Oregon State,2026-10-17
Nevada,North Dakota State,2026-10-17
Elon,Stanford,2026-10-17
San Jose State,UTEP,2026-10-17
Fresno State,San Diego State,2026-10-17
Illinois State,Southern Illinois,2026-10-16
Central Connecticut,Mercyhurst,2026-10-16
Long Island University,Wagner,2026-10-16
Hampton,Sacred Heart,2026-10-17
Chicago State,North Carolina A&T,2026-10-17
Rhode Island,Yale,2026-10-17
Brown,Princeton,2026-10-17
New Haven,Robert Morris,2026-10-17
Bryant,Maine,2026-10-17
Monmouth,New Hampshire,2026-10-17
Merrimack,Dartmouth,2026-10-17
Holy Cross,Harvard,2026-10-17
Duquesne,Stonehill,2026-10-17
Georgetown,Colgate,2026-10-17
Dayton,Butler,2026-10-17
Morehead State,Davidson,2026-10-17
Marist,Drake,2026-10-17
McNeese,Northwestern State,2026-10-17
VMI,Wofford,2026-10-17
Lehigh,Cornell,2026-10-17
South Dakota State,North Dakota,2026-10-17
Austin Peay,West Georgia,2026-10-17
Presbyterian,Stetson,2026-10-17
UAlbany,Stony Brook,2026-10-17
Eastern Kentucky,Tennessee Tech,2026-10-17
Lafayette,Bucknell,2026-10-17
Idaho,Montana,2026-10-17
Idaho State,Weber State,2026-10-17
Lindenwood,Eastern Illinois,2026-10-17
Gardner-Webb,UT Martin,2026-10-17
Western Illinois,Southeast Missouri State,2026-10-17
Grambling,Alabama A&M,2026-10-17
Alabama State,Arkansas-Pine Bluff,2026-10-17
Alcorn State,Prairie View A&M,2026-10-17
Bethune-Cookman,Mississippi Valley State,2026-10-17
Florida A&M,Jackson State,2026-10-17
Towson,Campbell,2026-10-17
Villanova,Fordham,2026-10-17
Valparaiso,San Diego,2026-10-17
Stephen F. Austin,Nicholls,2026-10-17
South Dakota,Murray State,2026-10-17
Alabama,West Florida,2026-10-17
Northern Iowa,Youngstown State,2026-10-17
Morgan State,Tennessee State,2026-10-17
Abilene Christian,North Alabama,2026-10-17
Montana State,Eastern Washington,2026-10-17
Portland State,Northern Arizona,2026-10-17
Central Arkansas,Tarleton State,2026-10-17
UT Rio Grande Valley,Incarnate Word,2026-10-17
Lamar,SE Louisiana,2026-10-17
Mercer,Samford,2026-10-17
East Texas A&M,Houston Christian,2026-10-17
Cal Poly,Northern Colorado,2026-10-17
UC Davis,Southern Utah,2026-10-17
Middle Tennessee,Florida International,2026-10-20
Missouri State,Delaware,2026-10-20
South Alabama,Marshall,2026-10-20
New Mexico State,Sam Houston,2026-10-21
James Madison,App State,2026-10-22
Liberty,Kennesaw State,2026-10-22
East Carolina,Memphis,2026-10-22
Duke,Virginia,2026-10-23
Massachusetts,UConn,2026-10-23
Army,Tulsa,2026-10-23
Air Force,Wyoming,2026-10-23
NC State,Stanford,2026-10-23
North Carolina Central,Delaware State,2026-10-23
Yale,Pennsylvania,2026-10-23
Oregon,Illinois,2026-10-23
Ole Miss,Texas,2026-10-23
Indiana,Michigan,2026-10-23
Pittsburgh,Miami,2026-10-23
Texas A&M,Alabama,2026-10-23
Oklahoma,Mississippi State,2026-10-23
Texas Tech,Cincinnati,2026-10-23
BYU,UCF,2026-10-23
USC,Wisconsin,2026-10-23
California,SMU,2026-10-23
Tennessee,South Carolina,2026-10-23
Houston,Utah,2026-10-23
Iowa,Minnesota,2026-10-23
Vanderbilt,Kentucky,2026-10-23
Baylor,Kansas,2026-10-23
Colorado,Oklahoma State,2026-10-23
Iowa State,Arizona,2026-10-23
Kansas State,Arizona State,2026-10-23
West Virginia,TCU,2026-10-23
Boston College,Georgia Tech,2026-10-23
Syracuse,North Carolina,2026-10-23
Virginia Tech,Clemson,2026-10-23
Rutgers,Northwestern,2026-10-23
Michigan State,UCLA,2026-10-23
Rice,Florida Atlantic,2026-10-23
UTSA,Tulane,2026-10-23
Hawai'i,Northern Illinois,2026-10-23
Akron,Kent State,2026-10-23
Sacramento State,Ball State,2026-10-23
Bowling Green,Buffalo,2026-10-23
Eastern Michigan,Ohio,2026-10-23
Western Michigan,Toledo,2026-10-23
Miami (OH),Central Michigan,2026-10-23
Louisiana,Southern Miss,2026-10-23
Old Dominion,Louisiana Tech,2026-10-23
UL Monroe,Troy,2026-10-23
LSU,Auburn,2026-10-24
North Texas,Navy,2026-10-24
San Jose State,Nevada,2026-10-24
Boise State,Washington State,2026-10-24
San Diego State,Colorado State,2026-10-24
Georgia State,Arkansas State,2026-10-24
Utah State,Texas State,2026-10-24
North Dakota State,New Mexico,2026-10-24
New Hampshire,Merrimack,2026-10-23
Stonehill,Long Island University,2026-10-23
UAlbany,Rhode Island,2026-10-24
Cornell,Brown,2026-10-24
New Haven,Central Connecticut,2026-10-24
Wagner,Duquesne,2026-10-24
San Diego,Dayton,2026-10-24
Campbell,Maine,2026-10-24
Bucknell,Holy Cross,2026-10-24
Lafayette,Fordham,2026-10-24
Butler,Drake,2026-10-24
Presbyterian,Valparaiso,2026-10-24
Jackson State,Bethune-Cookman,2026-10-24
Dartmouth,Columbia,2026-10-24
Norfolk State,South Carolina State,2026-10-24
East Tennessee State,VMI,2026-10-24
Stony Brook,Bryant,2026-10-24
Monmouth,Hampton,2026-10-24
North Dakota,South Dakota,2026-10-24
Northern Iowa,Southern Illinois,2026-10-24
Mercyhurst,Robert Morris,2026-10-24
Colgate,Richmond,2026-10-24
Tarleton State,West Georgia,2026-10-24
Stetson,Morehead State,2026-10-24
Samford,Furman,2026-10-24
Tennessee Tech,The Citadel,2026-10-24
Chattanooga,Western Carolina,2026-10-24
Chicago State,Lindenwood,2026-10-24
Princeton,Harvard,2026-10-24
Indiana State,Illinois State,2026-10-24
Murray State,South Dakota State,2026-10-24
Howard,Morgan State,2026-10-24
Weber State,Montana State,2026-10-24
West Florida,Eastern Kentucky,2026-10-24
Southeast Missouri State,Eastern Illinois,2026-10-24
Arkansas-Pine Bluff,Florida A&M,2026-10-24
Southern,Texas Southern,2026-10-24
Nicholls,Northwestern State,2026-10-24
Georgetown,William & Mary,2026-10-24
Lehigh,Villanova,2026-10-24
Charleston Southern,Tennessee State,2026-10-24
UT Martin,Western Illinois,2026-10-24
Houston Christian,Lamar,2026-10-24
Utah Tech,Cal Poly,2026-10-24
Southern Utah,Idaho,2026-10-24
UT Rio Grande Valley,Central Arkansas,2026-10-24
McNeese,Incarnate Word,2026-10-24
Portland State,Idaho State,2026-10-24
SE Louisiana,Stephen F. Austin,2026-10-24
Austin Peay,North Alabama,2026-10-24
Northern Colorado,UC Davis,2026-10-24
Prairie View A&M,East Texas A&M,2026-10-24
Delaware,Western Kentucky,2026-10-27
Sam Houston,Missouri State,2026-10-27
Kennesaw State,Middle Tennessee,2026-10-28
Jacksonville State,New Mexico State,2026-10-28
Florida Atlantic,North Texas,2026-10-29
Troy,James Madison,2026-10-29
South Carolina State,Morgan State,2026-10-29
Tulane,Charlotte,2026-10-30
Baylor,UCF,2026-10-30
Kent State,Sacramento State,2026-10-30
Harvard,Dartmouth,2026-10-30
Ohio State,USC,2026-10-30
Northwestern,Oregon,2026-10-30
Mississippi State,Texas,2026-10-30
Minnesota,Indiana,2026-10-30
Miami,North Carolina,2026-10-30
Auburn,Ole Miss,2026-10-30
South Carolina,Oklahoma,2026-10-30
Arizona,Texas Tech,2026-10-30
Arizona State,BYU,2026-10-30
Michigan,Rutgers,2026-10-30
Washington,Nebraska,2026-10-30
Purdue,Penn State,2026-10-30
SMU,Syracuse,2026-10-30
Utah,Cincinnati,2026-10-30
Wisconsin,Iowa,2026-10-30
Stanford,Louisville,2026-10-30
Missouri,Arkansas,2026-10-30
Kansas,TCU,2026-10-30
Kansas State,Colorado,2026-10-30
Oklahoma State,Iowa State,2026-10-30
California,NC State,2026-10-30
Boston College,Duke,2026-10-30
Clemson,Florida State,2026-10-30
Georgia Tech,Pittsburgh,2026-10-30
Virginia,Wake Forest,2026-10-30
Illinois,Maryland,2026-10-30
Nevada,UCLA,2026-10-30
Oregon State,Fresno State,2026-10-30
Army,Memphis,2026-10-30
Temple,East Carolina,2026-10-30
UAB,South Florida,2026-10-30
New Mexico,San Jose State,2026-10-30
App State,Georgia Southern,2026-10-30
Coastal Carolina,Georgia State,2026-10-30
Southern Miss,UL Monroe,2026-10-30
Marshall,Old Dominion,2026-10-30
Louisiana Tech,South Alabama,2026-10-30
Notre Dame,Navy,2026-10-31
Bowling Green,Western Michigan,2026-10-31
UConn,Air Force,2026-10-31
Florida,Georgia,2026-10-31
Colorado State,Utah State,2026-10-31
UTEP,North Dakota State,2026-10-31
Florida International,Liberty,2026-10-31
Washington State,San Diego State,2026-10-31
Texas State,Boise State,2026-10-31
Northern Illinois,UNLV,2026-10-31
South Dakota,South Dakota State,2026-10-30
Robert Morris,Central Connecticut,2026-10-30
Campbell,UAlbany,2026-10-31
Maine,Rhode Island,2026-10-31
Sacred Heart,Stony Brook,2026-10-31
Pennsylvania,Brown,2026-10-31
Yale,Columbia,2026-10-31
North Dakota,Youngstown State,2026-10-31
Mercyhurst,Stonehill,2026-10-31
Wagner,Merrimack,2026-10-31
Bucknell,Lehigh,2026-10-31
Duquesne,New Haven,2026-10-31
Villanova,Lafayette,2026-10-31
Bryant,Monmouth,2026-10-31
Elon,North Carolina A&T,2026-10-31
Hampton,Towson,2026-10-31
Cornell,Princeton,2026-10-31
William & Mary,Colgate,2026-10-31
Richmond,Holy Cross,2026-10-31
Butler,Presbyterian,2026-10-31
Dayton,Stetson,2026-10-31
Drake,Morehead State,2026-10-31
VMI,Chattanooga,2026-10-31
Murray State,Illinois State,2026-10-31
Indiana State,Northern Iowa,2026-10-31
Delaware State,Norfolk State,2026-10-31
Howard,North Carolina Central,2026-10-31
Western Illinois,Charleston Southern,2026-10-31
Gardner-Webb,Southeast Missouri State,2026-10-31
Tennessee State,Lindenwood,2026-10-31
Western Carolina,Furman,2026-10-31
Cal Poly,Montana State,2026-10-31
Idaho State,Utah Tech,2026-10-31
Northern Arizona,Southern Utah,2026-10-31
UC Davis,Weber State,2026-10-31
Eastern Illinois,UT Martin,2026-10-31
Houston Christian,Stephen F. Austin,2026-10-31
Alcorn State,Mississippi Valley State,2026-10-31
The Citadel,Mercer,2026-10-31
Bethune-Cookman,Arkansas-Pine Bluff,2026-10-31
Southern,Florida A&M,2026-10-31
Nicholls,McNeese,2026-10-31
Alabama State,Alabama A&M,2026-10-31
Tennessee Tech,East Tennessee State,2026-10-31
West Georgia,Abilene Christian,2026-10-31
Montana,Eastern Washington,2026-10-31
Idaho,Portland State,2026-10-31
Marist,San Diego,2026-10-31
SE Louisiana,East Texas A&M,2026-10-31
North Alabama,Central Arkansas,2026-10-31
Northwestern State,Incarnate Word,2026-10-31
Eastern Kentucky,Tarleton State,2026-10-31
Wofford,Samford,2026-10-31
Lamar,UT Rio Grande Valley,2026-10-31
Grambling,Texas Southern,2026-10-31
Ohio,Akron,2026-11-03
Buffalo,Miami (OH),2026-11-03
Ball State,Massachusetts,2026-11-03
Central Michigan,Eastern Michigan,2026-11-03
Toledo,Sacramento State,2026-11-03
UTSA,Florida Atlantic,2026-11-05
James Madison,Southern Miss,2026-11-05
South Carolina State,Howard,2026-11-05
Virginia Tech,SMU,2026-11-06
South Florida,East Carolina,2026-11-06
Nebraska,Illinois,2026-11-06
New Mexico,Nevada,2026-11-06
TCU,Arizona,2026-11-06
Oregon,Ohio State,2026-11-06
Georgia,Ole Miss,2026-11-06
Texas,Missouri,2026-11-06
Texas A&M,South Carolina,2026-11-06
Oklahoma,Florida,2026-11-06
Alabama,LSU,2026-11-06
West Virginia,Texas Tech,2026-11-06
BYU,Utah,2026-11-06
Michigan State,Michigan,2026-11-06
Penn State,Washington,2026-11-06
Kentucky,Tennessee,2026-11-06
Iowa,Northwestern,2026-11-06
Cincinnati,Houston,2026-11-06
Louisville,Georgia Tech,2026-11-06
Arkansas,Auburn,2026-11-06
Vanderbilt,Mississippi State,2026-11-06
UCF,Kansas,2026-11-06
Colorado,Arizona State,2026-11-06
Iowa State,Baylor,2026-11-06
Oklahoma State,Kansas State,2026-11-06
Clemson,Syracuse,2026-11-06
Duke,NC State,2026-11-06
Florida State,Boston College,2026-11-06
UCLA,Minnesota,2026-11-06
Maryland,Purdue,2026-11-06
Rutgers,Wisconsin,2026-11-06
Charlotte,UAB,2026-11-06
Rice,North Texas,2026-11-06
Tulsa,Tulane,2026-11-06
Hawai'i,UTEP,2026-11-06
Northern Illinois,San Jose State,2026-11-06
Georgia State,App State,2026-11-06
Old Dominion,Coastal Carolina,2026-11-06
Marshall,Georgia Southern,2026-11-06
South Alabama,Louisiana,2026-11-06
Louisiana Tech,Troy,2026-11-06
Merrimack,Wake Forest,2026-11-07
North Carolina,UConn,2026-11-07
UL Monroe,Arkansas State,2026-11-07
Delaware,Kennesaw State,2026-11-07
Temple,Navy,2026-11-07
Western Kentucky,Middle Tennessee,2026-11-07
Missouri State,Florida International,2026-11-07
Liberty,New Mexico State,2026-11-07
Boise State,Colorado State,2026-11-07
Sam Houston,Jacksonville State,2026-11-07
Miami,Notre Dame,2026-11-07
Air Force,Army,2026-11-07
Fresno State,Utah State,2026-11-07
Texas State,Oregon State,2026-11-07
Wyoming,UNLV,2026-11-07
Wagner,Mercyhurst,2026-11-06
North Carolina A&T,Monmouth,2026-11-07
Towson,Sacred Heart,2026-11-07
Brown,Yale,2026-11-07
Dartmouth,Princeton,2026-11-07
Long Island University,New Haven,2026-11-07
Robert Morris,Duquesne,2026-11-07
North Carolina Central,Norfolk State,2026-11-07
Colgate,Lehigh,2026-11-07
Valparaiso,Dayton,2026-11-07
Morehead State,Marist,2026-11-07
Holy Cross,Georgetown,2026-11-07
UAlbany,Bryant,2026-11-07
Stony Brook,Campbell,2026-11-07
Rhode Island,New Hampshire,2026-11-07
Columbia,Harvard,2026-11-07
Pennsylvania,Cornell,2026-11-07
Central Connecticut,Stonehill,2026-11-07
Morgan State,Delaware State,2026-11-07
Fordham,Bucknell,2026-11-07
Lafayette,William & Mary,2026-11-07
Richmond,Villanova,2026-11-07
Stetson,Davidson,2026-11-07
San Diego,Drake,2026-11-07
Mercer,Chattanooga,2026-11-07
Samford,East Tennessee State,2026-11-07
Wofford,Western Carolina,2026-11-07
Lindenwood,Gardner-Webb,2026-11-07
Hampton,Elon,2026-11-07
Illinois State,North Dakota,2026-11-07
Youngstown State,Murray State,2026-11-07
UT Martin,Charleston Southern,2026-11-07
UT Rio Grande Valley,Northwestern State,2026-11-07
Furman,The Citadel,2026-11-07
South Dakota State,Northern Iowa,2026-11-07
VMI,Tennessee Tech,2026-11-07
Portland State,Montana,2026-11-07
Northern Colorado,Southern Utah,2026-11-07
Western Illinois,Eastern Illinois,2026-11-07
Alabama A&M,Prairie View A&M,2026-11-07
Alabama State,Texas Southern,2026-11-07
Florida A&M,Alcorn State,2026-11-07
Arkansas-Pine Bluff,Grambling,2026-11-07
Bethune-Cookman,Southern,2026-11-07
Mississippi Valley State,Jackson State,2026-11-07
Southeast Missouri State,Tennessee State,2026-11-07
Stephen F. Austin,Lamar,2026-11-07
East Texas A&M,Nicholls,2026-11-07
Eastern Kentucky,Austin Peay,2026-11-07
Northern Arizona,Cal Poly,2026-11-07
Eastern Washington,Idaho,2026-11-07
West Georgia,Central Arkansas,2026-11-07
McNeese,Houston Christian,2026-11-07
Southern Illinois,Indiana State,2026-11-07
Montana State,Idaho State,2026-11-07
Abilene Christian,Tarleton State,2026-11-07
West Florida,North Alabama,2026-11-07
Utah Tech,UC Davis,2026-11-07
Incarnate Word,SE Louisiana,2026-11-07
Western Michigan,Akron,2026-11-10
Kent State,Bowling Green,2026-11-10
Ohio,Miami (OH),2026-11-10
Buffalo,Ball State,2026-11-10
Sacramento State,Central Michigan,2026-11-10
Massachusetts,Toledo,2026-11-10
Memphis,South Florida,2026-11-12
Louisiana,UL Monroe,2026-11-12
Florida State,Pittsburgh,2026-11-13
Illinois,UCLA,2026-11-13
Houston,Colorado,2026-11-13
Southern Utah,Portland State,2026-11-13
Northwestern,Ohio State,2026-11-13
Michigan,Oregon,2026-11-13
Missouri,Georgia,2026-11-13
Texas,LSU,2026-11-13
USC,Indiana,2026-11-13
Duke,Miami,2026-11-13
Tennessee,Texas A&M,2026-11-13
Ole Miss,Oklahoma,2026-11-13
Texas Tech,Oklahoma State,2026-11-13
Alabama,Vanderbilt,2026-11-13
Baylor,BYU,2026-11-13
Washington,Michigan State,2026-11-13
Minnesota,Penn State,2026-11-13
Wake Forest,SMU,2026-11-13
Utah,Arizona,2026-11-13
Purdue,Iowa,2026-11-13
Louisville,North Carolina,2026-11-13
Arizona State,UCF,2026-11-13
Cincinnati,Iowa State,2026-11-13
Kansas,West Virginia,2026-11-13
Kansas State,TCU,2026-11-13
South Carolina,Arkansas,2026-11-13
Florida,Kentucky,2026-11-13
Auburn,Mississippi State,2026-11-13
California,Virginia,2026-11-13
Georgia Tech,Clemson,2026-11-13
Stanford,Virginia Tech,2026-11-13
Syracuse,NC State,2026-11-13
Wisconsin,Maryland,2026-11-13
Nebraska,Rutgers,2026-11-13
East Carolina,Charlotte,2026-11-13
Florida Atlantic,Tulsa,2026-11-13
North Texas,UTSA,2026-11-13
Tulane,Rice,2026-11-13
UAB,Temple,2026-11-13
Nevada,Northern Illinois,2026-11-13
Wyoming,UTEP,2026-11-13
App State,Marshall,2026-11-13
Arkansas State,Coastal Carolina,2026-11-13
Georgia Southern,Georgia State,2026-11-13
Southern Miss,Louisiana Tech,2026-11-13
Troy,South Alabama,2026-11-13
James Madison,UConn,2026-11-14
Kennesaw State,Sam Houston,2026-11-14
New Mexico State,Missouri State,2026-11-14
Florida International,Delaware,2026-11-14
Boston College,Notre Dame,2026-11-14
Jacksonville State,Western Kentucky,2026-11-14
Middle Tennessee,Liberty,2026-11-14
Fresno State,Texas State,2026-11-14
Oregon State,Boise State,2026-11-14
San Jose State,Air Force,2026-11-14
UNLV,New Mexico,2026-11-14
Utah State,San Diego State,2026-11-14
Colorado State,Washington State,2026-11-14
North Dakota State,Hawai'i,2026-11-14
Central Connecticut,Long Island University,2026-11-13
Maine,UAlbany,2026-11-14
Bryant,Sacred Heart,2026-11-14
Towson,Rhode Island,2026-11-14
Merrimack,Monmouth,2026-11-14
Columbia,Brown,2026-11-14
Illinois State,Youngstown State,2026-11-14
Stonehill,Robert Morris,2026-11-14
New Haven,Wagner,2026-11-14
Norfolk State,Morgan State,2026-11-14
Georgetown,Fordham,2026-11-14
Villanova,Holy Cross,2026-11-14
Butler,Marist,2026-11-14
Davidson,Dayton,2026-11-14
Presbyterian,Morehead State,2026-11-14
The Citadel,VMI,2026-11-14
Mercyhurst,Duquesne,2026-11-14
Princeton,Yale,2026-11-14
North Carolina A&T,Hampton,2026-11-14
Stony Brook,New Hampshire,2026-11-14
Dartmouth,Cornell,2026-11-14
Harvard,Pennsylvania,2026-11-14
Murray State,Indiana State,2026-11-14
Delaware State,Howard,2026-11-14
Bucknell,William & Mary,2026-11-14
Lafayette,Colgate,2026-11-14
Valparaiso,Stetson,2026-11-14
Chattanooga,Furman,2026-11-14
Grambling,Bethune-Cookman,2026-11-14
Virginia,Chicago State,2026-11-14
North Carolina Central,South Carolina State,2026-11-14
East Tennessee State,Wofford,2026-11-14
Campbell,Elon,2026-11-14
Northern Iowa,South Dakota,2026-11-14
South Dakota State,Southern Illinois,2026-11-14
Lehigh,Richmond,2026-11-14
Abilene Christian,Austin Peay,2026-11-14
Montana State,Northern Colorado,2026-11-14
Central Arkansas,Eastern Kentucky,2026-11-14
Southeast Missouri State,Charleston Southern,2026-11-14
Gardner-Webb,Western Illinois,2026-11-14
North Alabama,West Georgia,2026-11-14
Houston Christian,Northwestern State,2026-11-14
Mercer,Tennessee Tech,2026-11-14
Lindenwood,UT Martin,2026-11-14
Tarleton State,West Florida,2026-11-14
Texas Southern,Alabama A&M,2026-11-14
Jackson State,Alabama State,2026-11-14
Alcorn State,Southern,2026-11-14
Prairie View A&M,Arkansas-Pine Bluff,2026-11-14
Mississippi Valley State,Florida A&M,2026-11-14
Nicholls,Incarnate Word,2026-11-14
Eastern Illinois,Tennessee State,2026-11-14
Western Carolina,Samford,2026-11-14
Eastern Washington,Utah Tech,2026-11-14
UC Davis,Idaho,2026-11-14
Weber State,Northern Arizona,2026-11-14
East Texas A&M,Lamar,2026-11-14
Stephen F. Austin,UT Rio Grande Valley,2026-11-14
McNeese,SE Louisiana,2026-11-14
Idaho State,Montana,2026-11-14
Ball State,Ohio,2026-11-17
Eastern Michigan,Western Michigan,2026-11-17
Miami (OH),Kent State,2026-11-17
Akron,Massachusetts,2026-11-17
Central Michigan,Buffalo,2026-11-17
Rice,Temple,2026-11-19
Northwestern State,Stephen F. Austin,2026-11-19
SE Louisiana,Nicholls,2026-11-19
Iowa State,UCF,2026-11-20
Clemson,Duke,2026-11-20
Bowling Green,Toledo,2026-11-20
Oregon,Michigan State,2026-11-20
UTEP,Air Force,2026-11-20
Ohio State,Nebraska,2026-11-20
Georgia,South Carolina,2026-11-20
Arkansas,Texas,2026-11-20
Indiana,Washington,2026-11-20
Virginia Tech,Miami,2026-11-20
Texas A&M,Oklahoma,2026-11-20
LSU,Tennessee,2026-11-20
Texas Tech,Baylor,2026-11-20
BYU,Kansas,2026-11-20
Maryland,USC,2026-11-20
UCLA,Michigan,2026-11-20
Rutgers,Penn State,2026-11-20
Utah,TCU,2026-11-20
Iowa,Illinois,2026-11-20
Houston,West Virginia,2026-11-20
Pittsburgh,Louisville,2026-11-20
Kentucky,Missouri,2026-11-20
Vanderbilt,Florida,2026-11-20
Arizona,Kansas State,2026-11-20
Colorado,Cincinnati,2026-11-20
Oklahoma State,Arizona State,2026-11-20
NC State,Florida State,2026-11-20
North Carolina,Virginia,2026-11-20
Stanford,California,2026-11-20
Syracuse,Boston College,2026-11-20
Wake Forest,Georgia Tech,2026-11-20
Northwestern,Minnesota,2026-11-20
Wisconsin,Purdue,2026-11-20
Charlotte,Tulsa,2026-11-20
South Florida,Florida Atlantic,2026-11-20
North Texas,Tulane,2026-11-20
UTSA,UAB,2026-11-20
Hawai'i,Nevada,2026-11-20
UL Monroe,App State,2026-11-20
Arkansas State,Louisiana Tech,2026-11-20
Coastal Carolina,Louisiana,2026-11-20
Georgia Southern,Troy,2026-11-20
Georgia State,Marshall,2026-11-20
South Alabama,Southern Miss,2026-11-20
Wofford,Ole Miss,2026-11-21
East Carolina,Army,2026-11-21
Memphis,Navy,2026-11-21
Tennessee Tech,Mississippi State,2026-11-21
Western Kentucky,Liberty,2026-11-21
Chattanooga,Alabama,2026-11-21
Missouri State,Jacksonville State,2026-11-21
Middle Tennessee,Sam Houston,2026-11-21
Delaware,New Mexico State,2026-11-21
Florida International,Kennesaw State,2026-11-21
Samford,Auburn,2026-11-21
Old Dominion,UConn,2026-11-21
Northern Illinois,North Dakota State,2026-11-21
Washington State,Texas State,2026-11-21
UNLV,San Jose State,2026-11-21
SMU,Notre Dame,2026-11-21
Colorado State,Fresno State,2026-11-21
New Mexico,Wyoming,2026-11-21
San Diego State,Boise State,2026-11-21
Utah State,Oregon State,2026-11-21
UAlbany,North Carolina A&T,2026-11-21
Hampton,Stony Brook,2026-11-21
Sacred Heart,Merrimack,2026-11-21
Cornell,Columbia,2026-11-21
Duquesne,Central Connecticut,2026-11-21
Long Island University,Robert Morris,2026-11-21
Wagner,Stonehill,2026-11-21
Howard,Norfolk State,2026-11-21
Fordham,Holy Cross,2026-11-21
William & Mary,Richmond,2026-11-21
Furman,VMI,2026-11-21
Pennsylvania,Princeton,2026-11-21
New Haven,Mercyhurst,2026-11-21
Lehigh,Lafayette,2026-11-21
Rhode Island,Bryant,2026-11-21
Monmouth,Campbell,2026-11-21
Elon,Towson,2026-11-21
New Hampshire,Maine,2026-11-21
Brown,Dartmouth,2026-11-21
South Dakota,Illinois State,2026-11-21
Colgate,Bucknell,2026-11-21
Georgetown,Villanova,2026-11-21
Charleston Southern,Eastern Illinois,2026-11-21
Morehead State,Butler,2026-11-21
Marist,Davidson,2026-11-21
Dayton,Presbyterian,2026-11-21
The Citadel,Western Carolina,2026-11-21
Delaware State,South Carolina State,2026-11-21
Tennessee State,Gardner-Webb,2026-11-21
Northern Iowa,Murray State,2026-11-21
Southern Illinois,North Dakota,2026-11-21
Morgan State,North Carolina Central,2026-11-21
Eastern Kentucky,Abilene Christian,2026-11-21
Montana,Montana State,2026-11-21
UT Martin,Southeast Missouri State,2026-11-21
West Florida,West Georgia,2026-11-21
Chicago State,Southern Utah,2026-11-21
Indiana State,South Dakota State,2026-11-21
Utah Tech,Weber State,2026-11-21
Western Illinois,Lindenwood,2026-11-21
Alabama A&M,Mississippi Valley State,2026-11-21
East Tennessee State,Mercer,2026-11-21
Prairie View A&M,Alabama State,2026-11-21
Jackson State,Alcorn State,2026-11-21
Yale,Harvard,2026-11-21
Florida A&M,Bethune-Cookman,2026-11-21
Cal Poly,UC Davis,2026-11-21
Portland State,Eastern Washington,2026-11-21
Northern Colorado,Northern Arizona,2026-11-21
Tarleton State,North Alabama,2026-11-21
Arkansas-Pine Bluff,Texas Southern,2026-11-21
Incarnate Word,East Texas A&M,2026-11-21
Austin Peay,Central Arkansas,2026-11-21
UT Rio Grande Valley,Houston Christian,2026-11-21
Idaho,Idaho State,2026-11-21
Lamar,McNeese,2026-11-21
Stetson,San Diego,2026-11-21
Miami (OH),Western Michigan,2026-11-23
Kent State,Eastern Michigan,2026-11-24
TCU,Texas Tech,2026-11-26
Florida Atlantic,East Carolina,2026-11-26
Temple,Memphis,2026-11-26
Tulane,South Florida,2026-11-26
Mississippi State,Ole Miss,2026-11-27
Nebraska,Iowa,2026-11-27
Buffalo,Akron,2026-11-27
Toledo,Ohio,2026-11-27
App State,South Alabama,2026-11-27
Florida,Florida State,2026-11-27
North Dakota State,San Jose State,2026-11-27
Texas,Texas A&M,2026-11-27
Minnesota,Wisconsin,2026-11-27
West Virginia,Utah,2026-11-27
Washington,Oregon,2026-11-27
Georgia Tech,Georgia,2026-11-27
Notre Dame,Syracuse,2026-11-27
Purdue,Indiana,2026-11-27
Boston College,Miami,2026-11-27
Oklahoma,Missouri,2026-11-27
LSU,Arkansas,2026-11-27
Auburn,Alabama,2026-11-27
Cincinnati,BYU,2026-11-27
USC,UCLA,2026-11-27
Penn State,Maryland,2026-11-27
SMU,Stanford,2026-11-27
Tennessee,Vanderbilt,2026-11-27
Baylor,Houston,2026-11-27
Louisville,Kentucky,2026-11-27
South Carolina,Clemson,2026-11-27
Arizona State,Arizona,2026-11-27
UCF,Colorado,2026-11-27
Kansas,Oklahoma State,2026-11-27
Kansas State,Iowa State,2026-11-27
Duke,Wake Forest,2026-11-27
